	English	Japanese (日本語)	Vietnam	Portuguese	Russian	Spanish	French	German	Turkish	Korean	Chinese Simplified	Chinese Traditional
33003	The product is not available to purchase on the store	The product is not available to purchase on the store	The product is not available to purchase on the store	O produto não está disponível para comprar na loja	Этот продукт нельзя купить в магазине	El producto no está disponible para comprar en la tienda	Le produit n'est pas disponible	Dieses Produkt ist im Shop nicht verfügbar	Bu ürün, mağazadan alınamaz			
//PublicProfile												
44001	Add friend	Add friend	Add friend	Adicionar como amigo	Добавить в друзья	Agregar como amigo	Envoyer demande d'ami	Als Freund hinzufügen	Arkadaş ekle			
44002	Number of friends	Number of friends	Number of friends	Numero total de amigos	Всего друзей	Número total de amigos	Nombre d'amis	Anzahl der Freunde	Arkadaş Sayısı			
44003	Global ranking	Global ranking	Global ranking	Rank da rede	Рейтинг среди друзей	Rango de la red	Classement	Network Rang	Global sıralama			
44004	Free song unlocked	Free song unlocked	Free song unlocked	Música normal desbloqueada	Открыта обычная песня	Canción normal desbloqueada	Chanson normale achetée	Normale Songs freigeschaltet	Açtığı normal şarkılar			
44005	Premium song purchased	Premium song purchased	Premium song purchased	Musica premium comprada	Куплена премиум-песня	Canción premium comprada	Chanson premium achetée	Premium Songs gekauft	Açtığı premium şarkılar.			
44006	Hey, {0} wants to add you as friend. Accept and have fun!	Hey, {0} wants to add you as friend. Accept and have fun!	{0} vừa gửi một yêu cầu kết bạn	Hey, {0} quer adicionar você como amigo. Aceite e divirtam-se	{0} хочет добавить вас в друзья. Согласитесь и повеселитесь вместе!	Oye, {0} quiere agregarte como amigo. ¡Aceptar y diviértete!	Hey, {0} vous a demandé en ami. Acceptez et amusez-vous bien !	Hey, {0} möchte dich als Freund hinzufügen. Nimm an und hab Spaß! 	Hey, {0} seni arkadaş eklemek istiyor. Kabul ediyor musun?			
44007	{0} wants to add you as friend	{0} wants to add you as friend	{0} muốn thêm bạn vào danh sách bạn bè	{0} quer adicionar você como amigo	{0} хочет добавить вас в друзья	 {0} quiere agregarte como amigo	{0} vous à demandé en ami	{0} möchte dich als Freund hinzufügen	{0} seni arkadaş eklemek istiyor.			
44008	{0} has accepted your friend request	{0} has accepted your friend request	Bạn và {0} đã trở thành bạn bè	{0} aceitou sua solicitação de amizade	{0} принял(а) ваш запрос на дружбу	{0} ha aceptado tu solicitud de amistad.	{0} a accepté votre demande d'ami	{0} hat deine Freundschaftsanfrage bestätigt	{0} arkadaşlık isteğini kabul etti			
44009	Crown	Crown	Crown	Coroa	Корона	Corona	Couronne	Krone	Taç			
44010	Achievement	Achievement	Achievement	Achievement	Achievement	Achievement	Achievement	Achievement	Başarımlar			
//More game												
45001	Here are some other music games \n from our studio. Enjoy!	Here are some other music games \n from our studio. Enjoy!	Here are some other music games \n from our studio. Enjoy!	Aqui estão algumas outras músicas de jogo do nosso estúdio. Aproveite!	Here are some other music games \n from our studio. Enjoy!	Aquí hay algunos otros juegos de música de nuestro estudio. ¡Disfruta!	Voici d'autres jeux musicaux crées par notre studio. Profitez !	Hier sind ein paar Musikspiele von uns. Viel Spaß!	Bizim ürettiğimiz diğer oyunlara da bir göz at			
//Gift code												
46001	Please enter your promotion code here	Please enter your promotion code here	Please enter your promotion code	Por favor, entre com seu código promocional aqui	Введите свой промокод здесь	Introduzca su código de promoción aquí	Entrez vos codes promos ici	Bitte geben dein Promotion Code hier ein	Promosyon kodunu buraya girin			
46002	Gift code place holder	Gift code place holder	Gift code place holder	Espaço reservado para código de presente	Заполнитель для подарочного кода	Código de regalo	Champ de texte pour code promo	Geschenkkarten Platzhalter	Hediye kodu tutucu			
46003	Promotion code is successfully used	Promotion code is successfully used	Promotion code is successfully used	Código promocional foi usado com sucesso	Промокод использован	El código de promoción se ha utilizado correctamente	Le code promo a bien été utilisé	Der Promotion Code wurde erfolgreich verwendet	Promosyon kodu aktif edildi.			
46004	Promotion code is expired	Promotion code is expired	Promotion code is expired	Código promocional expirado	Промокод устарел	El código de promoción ha caducado.	Le code promo est expiré	Dieser Promotion Code ist abgelaufen	Promosyon kodunun süresi doldu.			
46005	Oops...Promotion code is invalid	Oops...Promotion code is invalid	Oop...Promotion code is invalid	Oops... Código promocional inválido	Ой... Промокод недействителен	Vaya ... El código de promoción no es válido	Mince…le code promo est invalide	Oops.. Dieser Promtion Code ist ungültig	Hayda! Promosyon kodu geçersiz.			
46006	Claim your Promotion codes here	Claim your Promotion codes here	Claim your Promotion codes here	Pegue seu código promocional aqui	Получите промокоды здесь	Reclamar sus códigos de promoción aquí	Utilisez vos codes promos ici	Erhalte deinen Promotion Code hier	Promosyon kodlarını burada kullan.			
46007	You need to login to claim your Promotion codes	You need to login to claim your Promotion codes	You need to login to claim your Promotion codes	Você precisa de logar para pedir seu código promocional	Чтобы получить промокоды, надо войти в систему	Debes iniciar sesión para reclamar tus códigos de promoción.	Vous devez vous connecter pour utiliser un code promo	Du musst dich zuerst anmelden um deinen Promotion Code zu erhalten	Promosyon kodu kullanmak için giriş yapman lazım			
46008	Promotion code is not found	Promotion code is not found	Promotion code is not found	Código promocional não encontrado	Промокод не найден	El código de promoción no se encontró	Le code promo est introuvable	Promotion Code nicht gefunden	Promosyon kodu bulunamadı			
46009	Promotion code was deactived	Promotion code was deactived	Promotion code was deactived	O código promocional foi desativado	Промокод деактивирован	El código de promoción se ha desactivado.	Le code promo a été désactivé	Promotion Code ist deaktiviert	Promosyon kodu devre dışı oldu.			
46010	Promotion code was reached to limit	Promotion code was reached to limit	Promotion code was reached to limit	O código promocional atingiu o limite	Использован максимум промокодов	 Se alcanzó el límite del código de promoción 	Le code promo a atteint sa limite	Promtion Code Limit wurde erreicht	Promosyon kodunun kullanım limiti doldu			
//Online												
47000	Server is under maintenance. Please try again later	Server is under maintainace. Please try again later	Server is under maintainace. Please try again later	O servidor está em manutenção. Por favor, tente novamente mais tarde	На сервере ведутся работы. Попробуйте позже.	El servidor está en mantenimiento. Por favor, inténtelo de nuevo más tarde	Le serveur est en maintenance. Veuillez réessayer plus tard	Der Server wird gerade gewartet. Bitte versuche es später erneut	Sunucu bakımda. Daha sonra tekrar deneyin			
47001	Room will auto-start in	Room will auto-start in 	Room will auto-start in 	A sala irá iniciar automaticamente	Комната запустится через	La sala se iniciará automáticamente	La partie va commencer automatiquement dans	Der Raum startet automatisch in	Oda şu kadar saniye sonra başlayacak			
47002	Start now or in	Start now or in	Start now or in	Inicie agora ou entre	Начать сейчас или через	Comienza ahora o entrar	Commencer maintenant ou dans	Starte jetzt oder in	Şimdi başlatmazsan, otomatik başlamasına			
47003	Waiting for more player...	Waiting for more player...	Waiting for more player...	Esperando por mais jogadores	Ждем других игроков...	 Esperando más jugadores...	En attente d'autre joueurs…	Warte auf mehr Spieler...	Daha fazla oyuncu bekleniyor.			
47004	Only host can select this	Only host can select this	Only host can select this	Somente o host pode selecionar	Это может выбрать только хозяин комнаты	Sólo el Host puede seleccionar esto	Seul l'hôte peut choisir la chanson	Nur der Host kann dies auswählen	Burayı sadece host seçebilir.			
47005	Go go go	Go go go	Go go go	vai vai vai!	Погнали	Ve ve ve!	Allez allez allez	Los Los Los	Hadi Hadi Hadi!			
47006	Good luck	Good luck	Good luck	Boa sorte	Удачи	Buena suerte	Bonne chance	Viel Glück	Bol Şans!			
47007	Thanks	Thanks	Thanks	Obrigado!	Спасибо	Gracias	Merci	Danke	Teşekkürler			
47008	Change song pls	Change song pls	Change song pls	Mude a música, pls	Смените песню плз	Cambia la canción, porfavor	Change la chanson s'il te plait	Ändere den Song bitte	Şarkı Değiş Lütfen			
47009	Hello there	Hello there	Hello there	Olá!	Приветик	Hola!	Salut	Hallo	Merhaba!			
47010	Good game	Good game	Good game	Bom jogo!	Хорошей игры	Buen Juego!	Bon jeu	Gutes Spiel	İyi oyundu			
47011	Get ready everyone	Get ready everyone	Get ready everyone	Todos prontos	Всем приготовиться	Prepárence todos!	Préparez-vous	Macht euch bereit	Hazır Olun!			
47012	Let’s start	Let’s start	Let’s start	Vamos iniciar!	Начнем!	Empecemos!	Commençons	Lass uns anfangen	Hadi Başlayalım.			
47013	Connection Error	Connection Error	Connection Error	Erro de conexão	Ошибка подключения	Error de conexión	Erreur de connexion	Verbindungsfehler	Bağlantı Hatası			
47014	You were kicked out of the room	You was kicked out of the room	You was kicked out of the room	Você foi excluído da sala	Вас выгнали из комнаты	Fuiste expulsado de la sesión	Vous avez été expulsé de la pièce	Du wurdest aus dem Raum geworfen	Odadan atıldınız.			
47015	YOU WIN	YOU WIN	YOU WIN	Você venceu	ПОБЕДА	HAS GANADO	VICTOIRE	Gewonnen	KAZANDIN			
47016	YOU LOSE	YOU LOSE	YOU LOSE	Você perdeu	ПРОИГРЫШ	HAS PERDIDO	DEFAITE	Verloren	KAYBETTIN			
47017	Random Song	Random Song	Random Song	Música aleatória	Случайная песня	Canción aleatoria	Chanson aléatoire	Zufälliger Song	Rastgele Şarkı			
47018	This user has not logged in	This user has not logged in	This user has not logged in	Este usuário não está logado	Пользователь не в игре	Este usuario no se ha identificado	Ce joueur ne s'est pas connecté	Dieser Benutzer ist nicht angemeldet	Bu kullanıcı giriş yapmamış.			
47019	Waiting for player to accept invitation	Waiting for player to accept invitation	Waiting for player to accept invitation	Esperando o jogador aceitar o convite	Ждет, пока игрок примет приглашение	Esperando que el jugador acepte la invitación	En attente de la confirmation de l'invitation	Warten auf Spieler, um Einladung zu akzeptieren	Kullanıcının daveti kabul etmesi bekleniyorm			
47020	Time out! Please try again	Time out ! Please try again	Time out ! Please try again	Tempo expirado! Tente novamente	Время вышло! Попробуйте еще раз	¡Se acabó el tiempo! Inténtalo de nuevo...	Trop tard ! Veuillez réessayer	Zeit abgelaufen! Versuche es erneut	Zaman aşımı oldu. Lütfen tekrar deneyin.			
47021	The room was cancelled because there are not enough players	The room was cancelled because there is not enough player	The room was cancelled because there is not enough player	A sala foi cancelada pois não há jogadores suficientes	Комната отменена; не набралось достаточного числа игроков	La sesión fue cancelada porque no hay suficientes jugadores	La pièce a été supprimée à cause du manque de joueurs	Der Raum wurde abgebrochen weil nicht genügend Spieler vorhanden sind	Oda, yeteri kadar kullanıcı olmadığı için kapatıldı			
